"TaskName","TaskPriority","TaskQuestion","TaskShortDescription","TaskDetails"
"CA-RDA-A1-02Model","Essential","Model can be accessed manually (i.e. with human intervention)","The indicator refers to any human interactions that are needed if the requester wants to access the model. The FAIR principle ref ers mostly to automated interactions where a machine is able to access the data, but there may also be data that require human interactions. This may be important in cases where the data itself contains sensitive inf ormation. Human interaction might involve sending an e-mail to the data owner, or calling by telephone to receive instructions.","The indicator can be evaluated by looking f or inf ormation about the way that metadata can be accessed with human intervention, either in documentation, f or example in a landing page, or in metadata about the metadata in cases where there is multi-layered metadata, f or example using CatalogRecord in DCAT."
"CA-RDA-A1-02MA","Essential","Metadata of archive can be accessed manually (i.e. with human intervention)","The indicator refers to any human interactions that are needed if the requester wants to access the archive metadata. The FAIR principle ref ers mostly to automated interactions where a machine is able to access the metadata, but there may also be metadata that requirehuman interactions. This may be important in cases where the metadata itself contains sensitive inf ormation. Human interaction might involve sending an e-mail to the metadata owner, or calling by telephone to receive instructions.","The indicator can be evaluated by looking f or inf ormation about the way that metadata can be accessed with human intervention, either in documentation, f or example in a landing page, or in metadata about the metadata in cases where there is multi-layered metadata, f or example using CatalogRecord in DCAT."
"CA-RDA-A1-02MM","Essential","Metadata of model can be accessed manually (i.e. with human intervention)","The indicator refers to any human interactions that are needed if the requester wants to access the model metadata. The FAIR principle ref ers mostly to automated interactions where a machine is able to access the metadata, but there may also be metadata that requirehuman interactions. This may be important in cases where the metadata itself contains sensitive inf ormation. Human interaction might involve sending an e-mail to the metadata owner, or calling by telephone to receive instructions.","The indicator can be evaluated by looking f or inf ormation about the way that metadata can be accessed with human intervention, either in documentation, f or example in a landing page, or in metadata about the metadata in cases where there is multi-layered metadata, f or example using CatalogRecord in DCAT."
"CA-RDA-A1-03Archive","Essential","Archive identifier resolves to a digital object","This indicator is about the resolutionof the archive identifier. The identifier assigned tothe archive should be associated with a resolution service that enables access to the record.","The indicator can be evaluated by checking that the data can be accessed using its identifier. The evaluator or evaluation tool may also want to verify that the resolution delivers the correct record."
"CA-RDA-A1-03Model","Essential","Model identifier resolves to a digital object","This indicator is about the resolutionof the mdoel identifier. The identifier assigned tothe model should be associated with a resolution service that enables access to the record.","The indicator can be evaluated by checking that the data can be accessed using its identifier. The evaluator or evaluation tool may also want to verify that the resolution delivers the correct record."
"CA-RDA-A1-03MA","Essential","Metadata of archive identifier resolves to a metadata of archive record","This indicator is about the resolutionof the archive metadata identifier. The identifier assigned tothe metadata should be associated with a resolution service that enables access to the metadata record.","The indicator can be evaluated by checking that the metadata can be accessed using its identifier. The evaluator or evaluation tool may also want to verify that the resolution delivers the correct metadata record."
"CA-RDA-A1-03MM","Essential","Metadata of model identifier resolves to a metadata of model record","This indicator is about the resolutionof the model metadata identifier. The identifier assigned tothe metadata should be associated with a resolution service that enables access to the metadata record.","The indicator can be evaluated by checking that the metadata can be accessed using its identifier. The evaluator or evaluation tool may also want to verify that the resolution delivers the correct metadata record."
"CA-RDA-A1-04Archive","Essential","Archive is accessible through standardised protocol","The indicator concerns the protocol through which the archive is accessed and requires the protocol to be defined in a standard.","This indicator can be evaluated by looking at the way the data can be accessed. Common metadata access protocolsare HTTP and FTP, Atom19, OAI-PMH20and Web Services Metadata Exchange21."
"CA-RDA-A1-04Model","Essential","Model is accessible through standardised protocol","The indicator concerns the protocol through which the model is accessed and requires the protocol to be defined in a standard.","This indicator can be evaluated by looking at the way the data can be accessed. Common metadata access protocolsare HTTP and FTP, Atom19, OAI-PMH20and Web Services Metadata Exchange21."
"CA-RDA-A1-04MA","Essential","Metadata of archive is accessed through standardised protocol","The indicator concerns the protocol through which the archive metadata is accessed and requires the protocol to be defined in a standard.","This indicator can be evaluated by looking at the way the metadata can be accessed. Common metadata access protocolsare HTTP and FTP, Atom19, OAI-PMH20and Web Services Metadata Exchange21."
"CA-RDA-A1-04MM","Essential","Metadata of model is accessed through standardised protocol","The indicator concerns the protocol through which the model metadata is accessed and requires the protocol to be defined in a standard.","This indicator can be evaluated by looking at the way the metadata can be accessed. Common metadata access protocolsare HTTP and FTP, Atom19, OAI-PMH20and Web Services Metadata Exchange21."
"CA-RDA-A1-05Archive","Important","Archive can be accessed automatically (i.e. by a computer program)","The indicator refers to automated interactions between machines to access the archive. The way machines interact and grant access to the archive will be evaluated by the indicator.","This indicator can be evaluated by resolving the linkto the data, e.g. by resolving the persistent identifier and verifying that the data is reached. In the common case that the identifier is an HTTP URI, this can be done using the HTTP GET method. The evaluator or evaluation tool may also want to verify that the resolution delivers the correct data."
"CA-RDA-A1-05Model","Important","Model can be accessed automatically (i.e. by a computer program)","The indicator refers to automated interactions between machines to access the model. The way machines interact and grant access to the model will be evaluated by the indicator.","This indicator can be evaluated by resolving the linkto the data, e.g. by resolving the persistent identifier and verifying that the data is reached. In the common case that the identifier is an HTTP URI, this can be done using the HTTP GET method. The evaluator or evaluation tool may also want to verify that the resolution delivers the correct data."
"CA-RDA-A1.1-01Archive","Important","Archive is accessible through a free access protocol","The indicator tests that theprotocol that enables the requester to access the archive can be f reely used. Such f ree use of the protocol enhances data reusability.","The indicator can be evaluated on the basis of inf ormation provided about whether the use of the protocol is free of charge. Common examples are HTTP and FTP."
"CA-RDA-A1.1-01Model","Important","Model is accessible through a free access protocol","The indicator tests that theprotocol that enables the requester to access the model can be f reely used. Such f ree use of the protocol enhances data reusability.","The indicator can be evaluated on the basis of inf ormation provided about whether the use of the protocol is free of charge. Common examples are HTTP and FTP."
"CA-RDA-A1.1-01MA","Essential","Metadata of archive is accessible through a free access protocol","The indicator tests that theprotocol that enables the requester to access the archive metadata can be f reely used. Such f ree use of the protocol enhances data reusability.","The indicator can be evaluated on the basis of inf ormation provided about whether the use of the protocol is free of charge. Common examples are HTTP and FTP."
"CA-RDA-A1.1-01MM","Essential","Metadata of model is accessible through a free access protocol","The indicator tests that theprotocol that enables the requester to access the model metadata can be f reely used. Such f ree use of the protocol enhances data reusability.","The indicator can be evaluated on the basis of inf ormation provided about whether the use of the protocol is free of charge. Common examples are HTTP and FTP."
"CA-RDA-A1.2-01Archive","Useful","Archive is accessible through an access protocol that supports authentication and authorisation","The indicator requires that if the archive or local environment indicates a degree of additional protection then the access protocol must support authentication and authorisation of people and/or machines?","The indicator can be evaluated by assessing whether an authentication and authorisation process is present in the protocol (e.g. HMAC)"
"CA-RDA-A1.2-01Model","Useful","Model is accessible through an access protocol that supports authentication and authorisation","The indicator requires that if the model or local environment indicates a degree of additional protection then the access protocol must support authentication and authorisation of people and/or machines?","The indicator can be evaluated by assessing whether an authentication and authorisation process is present in the protocol (e.g. HMAC)"
"CA-RDA-A2-01MA","Essential","Metadata of archive is guaranteed to remain available after archive is no longer available","The indicator intends to verify that information about a digital object is still available af ter the object has been deleted or otherwise has become unavailable. If possible, the archive metadata that remains available should also indicate why the object is no longeravailable.","The indicator can be evaluated on the basis of information provided about the lif e cycle of metadata and data, which should indicate that the metadata will remain available if the data is no longer available. This inf ormation is likely to be available from the repository where the metadata and data are stored"
"CA-RDA-A2-01MM","Essential","Metadata of model is guaranteed to remain available after model is no longer available","The indicator intends to verify that information about a digital object is still available af ter the object has been deleted or otherwise has become unavailable. If possible, the model metadata that remains available should also indicate why the object is no longeravailable.","The indicator can be evaluated on the basis of information provided about the lif e cycle of metadata and data, which should indicate that the metadata will remain available if the data is no longer available. This inf ormation is likely to be available from the repository where the metadata and data are stored"
"CA-RDA-I1-01Archive","Essential","Archive content is expressed in standardised formats","The indicator serves to determine that an appropriate standard is used toexpress knowledge, f or example, controlled vocabularies for subject classifications","The indicator can be evaluated by looking at inf ormation describing the way metadata values are expressed using controlled vocabularies, verifying that the standard used is appropriate f or the domain and the type of digital object. Deciding on the appropriateness of the knowledge representation may be based on its inclusion in a registry like the one developed by FAIRsharing."
"CA-RDA-I1-01Model","Essential","Model content is expressed in standardised formats","The indicator serves to determine that an appropriate standard is used toexpress knowledge, f or example, controlled vocabularies for subject classifications","The indicator can be evaluated by looking at inf ormation describing the way metadata values are expressed using controlled vocabularies, verifying that the standard used is appropriate f or the domain and the type of digital object. Deciding on the appropriateness of the knowledge representation may be based on its inclusion in a registry like the one developed by FAIRsharing."
"CA-RDA-I1-01MA","Important","Metadata of archive is expressed in standardised formats","The indicator serves to determine that an appropriate standard is used toexpress knowledge, f or example, controlled vocabularies for subject classifications","The indicator can be evaluated by looking at inf ormation describing the way metadata values are expressed using controlled vocabularies, verifying that the standard used is appropriate f or the domain and the type of digital object. Deciding on the appropriateness of the knowledge representation may be based on its inclusion in a registry like the one developed by FAIRsharing."
"CA-RDA-I1-01MM","Important","Metadata of model is expressed in standardised formats","The indicator serves to determine that an appropriate standard is used toexpress knowledge, f or example, controlled vocabularies for subject classifications","The indicator can be evaluated by looking at inf ormation describing the way metadata values are expressed using controlled vocabularies, verifying that the standard used is appropriate f or the domain and the type of digital object. Deciding on the appropriateness of the knowledge representation may be based on its inclusion in a registry like the one developed by FAIRsharing."
"CA-RDA-I1-02Archive - to check if needed for archive","Important","Archive uses machine-understandable knowledge representation","This indicator focuses on the machine-understandability aspect of the archive. This means that data should be readable and thus interoperable for machines without any requirements such as specific translators or mappings.","This indicator can be evaluated by looking at the knowledge representation model used f or the expression of the data. Examples are RDF, OWL, JSON-LD and SKOS. Information about models and formats canbe looked up in a registry like the RDA-endorsed FAIRsharing (see f or example : https://fairsharing.org/standards/?q=&selected_facets=type_exact:model/format)."
"CA-RDA-I1-02Model","Important","Model uses machine-understandable knowledge representation","This indicator focuses on the machine-understandability aspect of the model. This means that data should be readable and thus interoperable for machines without any requirements such as specific translators or mappings.","This indicator can be evaluated by looking at the knowledge representation model used f or the expression of the data. Examples are RDF, OWL, JSON-LD and SKOS. Information about models and formats canbe looked up in a registry like the RDA-endorsed FAIRsharing (see f or example : https://fairsharing.org/standards/?q=&selected_facets=type_exact:model/format)."
"CA-RDA-I1-02MA","Important","Metadata of archive uses machine-understandable knowledge representation","This indicator focuses on the machine-understandability aspect of the archive metadata. This means that metadata should be readable and thus interoperable for machines without any requirements such as specific translators or mappings.","This indicator can be evaluated by looking at the knowledge representation model used f or the expression of the metadata. Examples are RDF, OWL, JSON-LD and SKOS. Information about models and formats canbe looked up in a registry like the RDA-endorsed FAIRsharing (see f or example : https://fairsharing.org/standards/?q=&selected_facets=type_exact:model/format)."
"CA-RDA-I1-02MM","Important","Metadata of model uses machine-understandable knowledge representation","This indicator focuses on the machine-understandability aspect of the model metadata. This means that metadata should be readable and thus interoperable for machines without any requirements such as specific translators or mappings.","This indicator can be evaluated by looking at the knowledge representation model used f or the expression of the metadata. Examples are RDF, OWL, JSON-LD and SKOS. Information about models and formats canbe looked up in a registry like the RDA-endorsed FAIRsharing (see f or example : https://fairsharing.org/standards/?q=&selected_facets=type_exact:model/format)."
"CA-RDA-I2-01Archive","Useful","The files contained in the Archive use FAIR-compliant vocabularies","The indicator requires the vocabularyused f or the archive to conform to the FAIR principles, and at least be documented and resolvable using globally unique and persistent identifiers. The documentation needs to be easily findable and accessible.","The indicator can be evaluated by verifying that each of the vocabularies used in the metadata is documented and resolvable using globally unique and persistent identif iers, with the documentation being easily f indable and accessible. Typically, the reference to the specificationof the vocabularies used will be included in the documentation of the digital object or the repository where it is kept"
"CA-RDA-I2-01Model","Essential","Model uses FAIR-compliant vocabularies","The indicator requires the vocabularyused f or the model to conform to the FAIR principles, and at least be documented and resolvable using globally unique and persistent identifiers. The documentation needs to be easily findable and accessible.","The indicator can be evaluated by verifying that each of the vocabularies used in the metadata is documented and resolvable using globally unique and persistent identif iers, with the documentation being easily f indable and accessible. Typically, the reference to the specificationof the vocabularies used will be included in the documentation of the digital object or the repository where it is kept"
"CA-RDA-I2-01MA","Important","Metadata of archive uses FAIR-compliant vocabularies","The indicator requires the vocabularyused f or the archive metadata to conform to the FAIR principles, and at least be documented and resolvable using globally unique and persistent identifiers. The documentation needs to be easily findable and accessible.","The indicator can be evaluated by verifying that each of the vocabularies used in the metadata is documented and resolvable using globally unique and persistent identif iers, with the documentation being easily f indable and accessible. Typically, the reference to the specificationof the vocabularies used will be included in the documentation of the digital object or the repository where it is kept"
"CA-RDA-I2-01MM","Important","Metadata of model uses FAIR-compliant vocabularies","The indicator requires the vocabularyused f or the model metadata to conform to the FAIR principles, and at least be documented and resolvable using globally unique and persistent identifiers. The documentation needs to be easily findable and accessible.","The indicator can be evaluated by verifying that each of the vocabularies used in the metadata is documented and resolvable using globally unique and persistent identif iers, with the documentation being easily f indable and accessible. Typically, the reference to the specificationof the vocabularies used will be included in the documentation of the digital object or the repository where it is kept"
"CA-RDA-I3-01Archive","Useful","Archive includes references to other data","The indicator is about the way that the archive is connected to other metadata, for example through links to inf ormation about organisations, people, places, projects or time periods that are related to the digital object that the metadata describes.","The indicator can be evaluated by looking at the occurrence of ref erences to other metadata, for example ORCID26for people or Geonames27for places."
"CA-RDA-I3-01Model","Useful","Model includes references to other data","The indicator is about the way that the model is connected to other metadata, for example through links to inf ormation about organisations, people, places, projects or time periods that are related to the digital object that the metadata describes.","The indicator can be evaluated by looking at the occurrence of ref erences to other metadata, for example ORCID26for people or Geonames27for places."
"CA-RDA-I3-01MA","Important","Metadata of archive includes references to other metadata of archive","The indicator is about the way that the archive metadata is connected to other metadata, for example through links to inf ormation about organisations, people, places, projects or time periods that are related to the digital object that the metadata describes.","The indicator can be evaluated by looking at the occurrence of ref erences to other metadata, for example ORCID26for people or Geonames27for places."
"CA-RDA-I3-01MM","Important","Metadata of model includes references to other metadata of model","The indicator is about the way that the model metadata is connected to other metadata, for example through links to inf ormation about organisations, people, places, projects or time periods that are related to the digital object that the metadata describes.","The indicator can be evaluated by looking at the occurrence of ref erences to other metadata, for example ORCID26for people or Geonames27for places."
"CA-RDA-I3-02Archive","Useful","Archive includes qualified references to other data","This indicator is about the way the archive is connected to other data, for example linking to previous or related research data that provides additional context to the data. Please note that this is not about the link from the metadata to the data it describes; that link is considered in principle F3 and in indicator RDA-F3-01M.","The indicator can be evaluated by looking at the presence of references to other data in the metadata"
"CA-RDA-I3-02Model","Useful","Model includes qualified references to other data","This indicator is about the way the model is connected to other data, for example linking to previous or related research data that provides additional context to the data. Please note that this is not about the link from the metadata to the data it describes; that link is considered in principle F3 and in indicator RDA-F3-01M.","The indicator can be evaluated by looking at the presence of references to other data in the metadata"
"CA-RDA-I3-02MA","Useful","Metadata of archive includes references to other data (models or archives)","This indicator is about the way the archive metadata is connected to other data, for example linking to previous or related research data that provides additional context to the data. Please note that this is not about the link from the metadata to the data it describes; that link is considered in principle F3 and in indicator RDA-F3-01M.","The indicator can be evaluated by looking at the presence of references to other data in the metadata"
"CA-RDA-I3-02MM","Useful","Metadata of model includes references to other data (archives or models)","This indicator is about the way the model metadata is connected to other data, for example linking to previous or related research data that provides additional context to the data. Please note that this is not about the link from the metadata to the data it describes; that link is considered in principle F3 and in indicator RDA-F3-01M.","The indicator can be evaluated by looking at the presence of references to other data in the metadata"
"CA-RDA-I3-03MA","Important","Metadata of archive includes qualified references to other metadata","This indicator is about the way the archive metadata is connected to other metadata, for example to descriptions of related resources that provide additional context to the data. The references need to be qualified which means that the relationship of the related resource is specified, f or example person Y is the author ofdataset X.","The indicator can be evaluated by looking at the presence of ref erences with specification of the relationship that the related resource has to the described resource."
"CA-RDA-I3-03MM","Important","Metadata of model includes qualified references to other metadata","This indicator is about the way the model metadata is connected to other metadata, for example to descriptions of related resources that provide additional context to the data. The references need to be qualified which means that the relationship of the related resource is specified, f or example person Y is the author ofdataset X.","The indicator can be evaluated by looking at the presence of ref erences with specification of the relationship that the related resource has to the described resource."
"CA-RDA-I3-04MA","Useful","Metadata of archive include qualified references to other data","This indicator is about the way the archive metadata is connected to other data. The ref erences need to be qualified which means that the relationship role of the related resource is specified, for example dataset X is derived from dataset Y.","The indicator can be evaluated by looking at the presence of ref erences with specification of the relationship role that the related resource has with the described resource"
"CA-RDA-I3-04MM","Useful","Metadata of model include qualified references to other data","This indicator is about the way the model metadata is connected to other data. The ref erences need to be qualified which means that the relationship role of the related resource is specified, for example dataset X is derived from dataset Y.","The indicator can be evaluated by looking at the presence of ref erences with specification of the relationship role that the related resource has with the described resource"
"CA-RDA-R1-01MA","Essential","Plurality of accurate and relevant attributes of archive are provided to allow reuse","The indicator concerns the quantity but also the quality of metadata provided in order to enhance data reusability","This indicator can be evaluated with the help of standards registries such as the RDA-endorsed FAIRsharing (see f or example: https://fairsharing.org/standards/?q=/format&selected_facets=type_exact:reporting%20guideline)"
"CA-RDA-R1-01MM","Essential","Plurality of accurate and relevant attributes of model are provided to allow reuse","The indicator concerns the quantity but also the quality of metadata provided in order to enhance data reusability","This indicator can be evaluated with the help of standards registries such as the RDA-endorsed FAIRsharing (see f or example: https://fairsharing.org/standards/?q=/format&selected_facets=type_exact:reporting%20guideline)"
"CA-RDA-R1.1-01MA","Essential","Metadata of archive includes information about the licence under which the archive can be reused","This indicator is about the information that is provided in the archive metadata related to the conditions (e.g. obligations, restrictions) under which data can be reused. In the absence of licenceinformation, data cannot be reused.","This indicator can be evaluated by looking in the metadata f or licence inf ormation. This inf ormation may be in human-readable text; machine-understandability of the information is covered in indicator RDA-R1.1-03M."
"CA-RDA-R1.1-01MM","Essential","Metadata of model includes information about the licence under which the model can be reused","This indicator is about the information that is provided in the model metadata related to the conditions (e.g. obligations, restrictions) under which data can be reused. In the absence of licenceinformation, data cannot be reused.","This indicator can be evaluated by looking in the metadata f or licence inf ormation. This inf ormation may be in human-readable text; machine-understandability of the information is covered in indicator RDA-R1.1-03M."
"CA-RDA-R1.1-02MA","Important","Metadata of archive refers to a standard reuse licence","This indicator requires the reference to the conditions of reuse to be a standard licence, rather than a locally defined licence.","The indicator can be evaluated by verifying that the licence is indeed a standard licence. Examples ofstandard licences are: Creative Commons licences, Open Data Commons."
"CA-RDA-R1.1-02MM","Important","Metadata of model refers to a standard reuse licence","This indicator requires the reference to the conditions of reuse to be a standard licence, rather than a locally defined licence.","The indicator can be evaluated by verifying that the licence is indeed a standard licence. Examples ofstandard licences are: Creative Commons licences, Open Data Commons."
"CA-RDA-R1.1-03MA","Important","Metadata of archive refers to a machine-understandable reuse licence","This indicator is about the way that the reuse licence is expressed. Rather than being a human-readable text, the licence should be expressed in such a way that it can be processed by machines, without human intervention, for example in automated searches.","The indicator can be evaluated by verifying that the link to the licence resolves to a machine-understandable expression of the conditions. An example of such a machine-understandable expression is the RDF expression of Creative Commons licences, or the various serialisations of the Open Data Rights Language (ODRL)."
"CA-RDA-R1.1-03MM","Important","Metadata of model refers to a machine-understandable reuse licence","This indicator is about the way that the reuse licence is expressed. Rather than being a human-readable text, the licence should be expressed in such a way that it can be processed by machines, without human intervention, for example in automated searches.","The indicator can be evaluated by verifying that the link to the licence resolves to a machine-understandable expression of the conditions. An example of such a machine-understandable expression is the RDF expression of Creative Commons licences, or the various serialisations of the Open Data Rights Language (ODRL)."
"CA-RDA-R1.2-01MA","Essential","Metadata of archive includes provenance information according to community-specific standards","This indicator requires the archive metadata to include inf ormation about the provenance of the data, i.e. information about the origin, history or workflow that generated the data, in a way that is compliant with the standards that are used in the community for which the data is curated","The indicator can be evaluated by verifying that the provenance informationf ollows the community standard. A RDA-endorsed service like FAIRsharingcould be helpful to identify the relevant standards."
